Title,Origin,Page,Link,Open Link,Composers,Tags,AI_Guessed_Key,Reference,Key,Genre,Key_Match,Predicted Key
Deck the Halls,Dr. Uke 3900,,https://doctoruke.com/deckthehalls.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Dedicated Follower of Fashion,Dr. Uke 3900,,https://doctoruke.com/dedicatedfollower.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Dedicated To You,Dr. Uke 3900,,https://doctoruke.com/dedicatedtoyou.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Deed I Do-C,Dr. Uke 3900,,https://doctoruke.com/deedidoc.pdf,Open Song,,Ukulele,,Dr. Uke,C,Pop/Rock,,
Deed I Do-G,Dr. Uke 3900,,https://doctoruke.com/deedidog.pdf,Open Song,,Ukulele,,Dr. Uke,G,Pop/Rock,,
Deep Blue Sea,Sun City Tablature,,https://scukes.org/tablature/Deep%20Blue%20Sea.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Classic Rock,,
DEEP IN THE HEART OF TEXAS,Sun City Two Chord Song Workbook,,https://scukes.org/doc/two_chord_song_workbook_11.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Classic Rock,,
Deep In The Heart Of Texas,Sun City Uke,,https://scukes.org/songs/Deep%20In%20The%20Heart%20Of%20Texas.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Deep In The Heart Of Texas - C,Sun City Uke,,https://scukes.org/songs/Deep%20In%20The%20Heart%20Of%20Texas%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
Deep River Blues - G,Sun City Uke,,https://scukes.org/songs/Deep%20River%20Blues%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Deeper Than the Holler,Ukejams 2026 Songbook,261,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Deep In the Heart of Texas,Dr. Uke 3900,,https://doctoruke.com/deepintheheartoftexas.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Deep Purple,Dr. Uke 3900,,https://doctoruke.com/deeppurple.pdf,Open Song,,Ukulele,D#,Dr. Uke,,Pop/Rock,,
Delilah,Dr. Uke 3900,,https://doctoruke.com/delilah.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Delilah,Sun City Uke,,https://scukes.org/songs/Delilah.pdf,Open Song,,Ukulele,G,Sun City Uke Club,,Pop/Rock,,
Delilah - Am,Sun City Uke,,https://scukes.org/songs/Delilah%20-%20Am.pdf,Open Song,,Ukulele,G,Sun City Uke Club,Am,Pop/Rock,Mismatch,
Delta Dawn,Sun City Uke,,https://scukes.org/songs/Delta%20Dawn.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Delta Dawn,Ukejams 2026 Songbook,262,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Delta Dawn,Dr. Uke 3900,,https://doctoruke.com/deltadawn.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Deportee,Ukejams 2026 Songbook,263,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Der Frohliche Wanderer,Dr. Uke 3900,,https://doctoruke.com/derfrohlichewanderer.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Der Frohliche Wanderer-with key change-C,Dr. Uke 3900,,https://doctoruke.com/derfrohlichewandererkc.pdf,Open Song,,Ukulele,A,Dr. Uke,C,Pop/Rock,Mismatch,
Der Sommerwind-D,Dr. Uke 3900,,https://doctoruke.com/dersommerwind.pdf,Open Song,,Ukulele,,Dr. Uke,D,Pop/Rock,,
Desafinado,Dr. Uke 3900,,https://doctoruke.com/desafinado.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Desert Skies,Dr. Uke 3900,,https://doctoruke.com/desertskies.pdf,Open Song,,Ukulele,Dm,Dr. Uke,,Pop/Rock,,
Desparado,Ukejams 2026 Songbook,264,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Desperado,Dr. Uke 3900,,https://doctoruke.com/desperado.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Desperado - D,Sun City Uke Book 4,,https://scukes.org/songs4/Desperado%20-%20D.pdf,Open Song,,Ukulele,,Sun City Uke Club,D,Pop/Rock,,
Desperado - G,Sun City Uke,,https://scukes.org/songs/Desperado%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Detour,Dr. Uke 3900,,https://doctoruke.com/detour.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Devil And The Deep Blue Sea,Sun City Uke,,https://scukes.org/songs/Devil%20And%20The%20Deep%20Blue%20Sea.pdf,Open Song,,Ukulele,F,Sun City Uke Club,,Pop/Rock,,
Devil and the Deep Blue Sea,Ukejams 2026 Songbook,265,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
"Devil and the Deep Blue Sea, The - F",Sun City Uke Book 1,,"https://scukes.org/songs1/Devil%20and%20the%20Deep%20Blue%20Sea,%20The%20-%20F.pdf",Open Song,,Ukulele,F,Sun City Uke Club,F,Pop/Rock,Match,
Devil Or Angel,Sun City Uke,,https://scukes.org/songs/Devil%20Or%20Angel.pdf,Open Song,,Ukulele,F,Sun City Uke Club,,Pop/Rock,,
Devil Woman,Ukejams 2026 Songbook,266,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Devil Woman - C,Sun City Uke,,https://scukes.org/songs/Devil%20Woman%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
(You're the) Devil In Disguise,Dr. Uke 3900,,https://doctoruke.com/devilindisguise.pdf,Open Song,,Ukulele,Bm,Dr. Uke,,Pop/Rock,,
Devil Or Angel/Sea of Love,Dr. Uke 3900,,https://doctoruke.com/devilorangel.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Devoted To You,Ukejams 2026 Songbook,267,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,C,Ukejams 2026 Songbook,,Pop/Rock,,
Devoted To You,Dr. Uke 3900,,https://doctoruke.com/devotedtoyou.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Diamond Girl,Dr. Uke 3900,,https://doctoruke.com/diamondgirl.pdf,Open Song,,Ukulele,Dm,Dr. Uke,,Pop/Rock,,
Diana-A,Dr. Uke 3900,,https://doctoruke.com/diana.pdf,Open Song,,Ukulele,,Dr. Uke,A,Pop/Rock,,
Diana - C,Sun City Uke,,https://scukes.org/songs/Diana%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
My Diane,Dr. Uke 3900,,https://doctoruke.com/diane.pdf,Open Song,,Ukulele,Db,Dr. Uke,,Pop/Rock,,
Diary,Dr. Uke 3900,,https://doctoruke.com/diary.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Did She Mention My Name,Ukejams 2026 Songbook,268,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Didn't We,Dr. Uke 3900,,https://doctoruke.com/didntwe.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Did You Ever Have To Make Up Your Mind,Dr. Uke 3900,,https://doctoruke.com/didyoueverhaveto.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Did You Ever See a Dream Walking,Dr. Uke 3900,,https://doctoruke.com/didyoueverseeadream.pdf,Open Song,,Ukulele,F,Dr. Uke,,Pop/Rock,,
"Die Liebe Ist Ein Seltsames Spiel-key change (G, A)",Dr. Uke 3900,,https://doctoruke.com/dieliebeist.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
"Die Liebe Ist Ein Seltsames Spiel-2 key changes (G, Ab, A)",Dr. Uke 3900,,https://doctoruke.com/dieliebeist3.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Different Drum,Sun City Uke Book 3,,https://scukes.org/songs3/Different%20Drum.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Different Drum,Ukejams 2026 Songbook,269,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Different Drum - C,Sun City Uke,,https://scukes.org/songs/Different%20Drum%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Different Drum - G,Sun City Uke,,https://scukes.org/songs/Different%20Drum%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Different Drum,Dr. Uke 3900,,https://doctoruke.com/differentdrum.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Diga Diga Doo,Ukejams 2026 Songbook,270,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Diggy Diggy Lo - C,Sun City Uke,,https://scukes.org/songs/Diggy%20Diggy%20Lo%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
Dinah,Dr. Uke 3900,,https://doctoruke.com/dinah.pdf,Open Song,,Ukulele,Am,Dr. Uke,,Pop/Rock,,
Dinah,Sun City Uke,,https://scukes.org/songs/Dinah.pdf,Open Song,,Ukulele,Am,Sun City Uke Club,,Pop/Rock,,
Dinah,Sun City Uke Book 2,,https://scukes.org/songs2/Dinah.pdf,Open Song,,Ukulele,Am,Sun City Uke Club,,Pop/Rock,,
Dindi,Dr. Uke 3900,,https://doctoruke.com/dindi.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Dirty Laundry,Ukejams 2026 Songbook,271,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Dirty Old Town,Ukejams 2026 Songbook,272,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Dirty Work,Dr. Uke 3900,,https://doctoruke.com/dirtywork.pdf,Open Song,,Ukulele,Eb,Dr. Uke,,Pop/Rock,,
Dites-Moi,Dr. Uke 3900,,https://doctoruke.com/ditesmoi.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Dixie,Dr. Uke 3900,,https://doctoruke.com/dixie.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Dixie Chicken,Ukejams 2026 Songbook,273,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Dixie Girl,Dr. Uke 3900,,https://doctoruke.com/dixiegirl.pdf,Open Song,,Ukulele,Ab,Dr. Uke,,Pop/Rock,,
Dixie Girl-no key change,Dr. Uke 3900,,https://doctoruke.com/dixiegirlnkc.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Do Re Mi,Sun City Uke,,https://scukes.org/songs/Do%20Re%20Mi.pdf,Open Song,,Ukulele,G,Sun City Uke Club,,Pop/Rock,,
Do You Believe In Magic,Sun City Uke,,https://scukes.org/songs/Do%20You%20Believe%20In%20Magic.pdf,Open Song,,Ukulele,C,Sun City Uke Club,,Pop/Rock,,
Do You Believe in Magic,Ukejams 2026 Songbook,301,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,C,Ukejams 2026 Songbook,,Pop/Rock,,
Do You Hear What I Hear - A,Sun City Uke,,https://scukes.org/songs/Do%20You%20Hear%20What%20I%20Hear%20-%20A.pdf,Open Song,,Ukulele,A,Sun City Uke Club,A,Pop/Rock,Match,
Do You Know The Way To San Jose,Sun City Uke,,https://scukes.org/songs/Do%20You%20Know%20The%20Way%20To%20San%20Jose.pdf,Open Song,,Ukulele,C,Sun City Uke Club,,Pop/Rock,,
Do You Know the Way to San Jose,Ukejams 2026 Songbook,302,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Do You Know What it Means to Miss New Orleans,Ukejams 2026 Songbook,303,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Do You Love Me,Ukejams 2026 Songbook,304,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Do You Love Me - C,Sun City Uke,,https://scukes.org/songs/Do%20You%20Love%20Me%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
Do You Want To Dance - A,Sun City Uke,,https://scukes.org/songs/Do%20You%20Want%20To%20Dance%20-%20A.pdf,Open Song,,Ukulele,E,Sun City Uke Club,A,Pop/Rock,Mismatch,
Dock of the Bay,Sun City Uke Book 1,,https://scukes.org/songs1/Dock%20of%20the%20Bay.pdf,Open Song,,Ukulele,E,Sun City Uke Club,,Pop/Rock,,
Dock of the Bay,Ukejams 2026 Songbook,274,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,E,Ukejams 2026 Songbook,,Pop/Rock,,
Dock Of The Bay - C,Sun City Uke,,https://scukes.org/songs/Dock%20Of%20The%20Bay%20-%20C.pdf,Open Song,,Ukulele,Am,Sun City Uke Club,C,Pop/Rock,Mismatch,
Dock Of The Bay - G,Sun City Uke,,https://scukes.org/songs/Dock%20Of%20The%20Bay%20-%20G.pdf,Open Song,,Ukulele,E,Sun City Uke Club,G,Pop/Rock,Mismatch,
Doctor Jazz,Ukejams 2026 Songbook,275,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Doctor My Eyes,Ukejams 2026 Songbook,276,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,C,Ukejams 2026 Songbook,,Folk / Singer-Songwriter,,
Doctor My Eyes,Dr. Uke 3900,,https://doctoruke.com/doctormyeyes.pdf,Open Song,,Ukulele,C,Dr. Uke,,Folk / Singer-Songwriter,,
"Do, Do, Do What You've Done",Dr. Uke 3900,,https://doctoruke.com/dododo.pdf,Open Song,,Ukulele,A,Dr. Uke,,Folk / Singer-Songwriter,,
Does Anybody Really Know What Time It Is,Ukejams 2026 Songbook,277,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,C,Ukejams 2026 Songbook,,"Folk / Singer-Songwriter, Pop/Rock",,
Does Anybody Really Know What Time It Is,Dr. Uke 3900,,https://doctoruke.com/doesanybodyreallyknow.pdf,Open Song,,Ukulele,C,Dr. Uke,,"Folk / Singer-Songwriter, Pop/Rock",,
Does Your Chewing Gum Lose Its Flavor On the Bedpost Overnight,Dr. Uke 3900,,https://doctoruke.com/doesyourchewinggum.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Do Flowers Exist At Night,Dr. Uke 3900,,https://doctoruke.com/doflowersexistatnight.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Doggie In The Window - F,Sun City Uke,,https://scukes.org/songs/Doggie%20In%20The%20Window%20-%20F.pdf,Open Song,,Ukulele,F,Sun City Uke Club,F,Pop/Rock,Match,
Do I Ever Cross Your Mind-D,Dr. Uke 3900,,https://doctoruke.com/doievercrossyourmind.pdf,Open Song,,Ukulele,D,Dr. Uke,D,Pop/Rock,Match,
Do I Love You Because You're Beautiful,Dr. Uke 3900,,https://doctoruke.com/doiloveyoubecause.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Do I Love You Because You're Beautiful-Gm,Dr. Uke 3900,,https://doctoruke.com/doiloveyoubecausegm.pdf,Open Song,,Ukulele,Bb,Dr. Uke,Gm,Pop/Rock,Mismatch,
Doin' What Comes Natur'lly,Ukejams 2026 Songbook,278,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Doing It All For My Baby,Dr. Uke 3900,,https://doctoruke.com/doingitall.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Do It Again,Dr. Uke 3900,,https://doctoruke.com/doitagain.pdf,Open Song,,Ukulele,Am,Dr. Uke,,Pop/Rock,,
"Dollar Short of Happy, A",Ukejams 2026 Songbook,280,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Don Quixote,Ukejams 2026 Songbook,295,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Be Cruel,Ukejams 2026 Songbook,281,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,D,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Be Cruel - C,Sun City Uke Book 4,,https://scukes.org/songs4/Don't%20Be%20Cruel%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Don't Be Cruel - G,Sun City Uke,,https://scukes.org/songs/Don't%20Be%20Cruel%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Don't Be Cruel (D),Ukejams 2026 Songbook,282,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,D,Pop/Rock,,
Don't Call Me Names,Ukejams 2026 Songbook,283,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Ease Me In,Ukejams 2026 Songbook,284,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Fence Me In,Ukejams 2026 Songbook,285,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,G,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Fence Me In - D,Sun City Uke,,https://scukes.org/songs/Don't%20Fence%20Me%20In%20-%20D.pdf,Open Song,,Ukulele,B,Sun City Uke Club,D,Pop/Rock,Mismatch,
Don't Fence Me In - D,Sun City Uke Book 1,,https://scukes.org/songs1/Don't%20Fence%20Me%20In%20-%20D.pdf,Open Song,,Ukulele,B,Sun City Uke Club,D,Pop/Rock,Mismatch,
Don't Hunt with Dick Cheney,Ukejams 2026 Songbook,1318,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Don't It Make My Brown Eyes Blue - C,Sun City Uke,,https://scukes.org/songs/Don't%20It%20Make%20My%20Brown%20Eyes%20Blue%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
Don't It Make My Brown Eyes Blue - F,Sun City Uke,,https://scukes.org/songs/Don't%20It%20Make%20My%20Brown%20Eyes%20Blue%20-%20F.pdf,Open Song,,Ukulele,F,Sun City Uke Club,F,Pop/Rock,Match,
Don't Know Why,Ukejams 2026 Songbook,286,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Let The Sun Catch You Crying - C,Sun City Uke,,https://scukes.org/songs/Don't%20Let%20The%20Sun%20Catch%20You%20Crying%20-%20C.pdf,Open Song,,Ukulele,Cm,Sun City Uke Club,C,Pop/Rock,Mismatch,
Don't Let the Sun Go Down on Me,Ukejams 2026 Songbook,287,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Blues / Soul,,
Don't Let Us Get Sick 288 Don't Pull Your Love,Ukejams 2026 Songbook,289,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Pass Me By,Sun City Uke Book 1,,https://scukes.org/songs1/Don't%20Pass%20Me%20By.pdf,Open Song,,Ukulele,G,Sun City Uke Club,,Pop/Rock,,
Don't Pass Me By - C,Sun City Uke,,https://scukes.org/songs/Don't%20Pass%20Me%20By%20-%20C.pdf,Open Song,,Ukulele,G,Sun City Uke Club,C,Pop/Rock,Mismatch,
Don't Sit Under the Apple Tree,Ukejams 2026 Songbook,290,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,C#,Ukejams 2026 Songbook,,"Classic Rock, Pop/Rock",,
Don't Stand So Close to Me,Ukejams 2026 Songbook,291,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Stop (Thinking About Tomorrow),Ukejams 2026 Songbook,292,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,Bb,Ukejams 2026 Songbook,,Pop/Rock,,
Don't Think Twice - G,Sun City Uke,,https://scukes.org/songs/Don't%20Think%20Twice%20-%20G.pdf,Open Song,,Ukulele,A,Sun City Uke Club,G,Pop/Rock,Mismatch,
"Don't Think Twice, It's Alright",Sun City Uke Book 3,,"https://scukes.org/songs3/Don't%20Think%20Twice,%20It's%20Alright.pdf",Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Don't Worry About Me - G,Sun City Uke,,https://scukes.org/songs/Don't%20Worry%20About%20Me%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Don't Worry Baby - F,Sun City Uke,,https://scukes.org/songs/Don't%20Worry%20Baby%20-%20F.pdf,Open Song,,Ukulele,D,Sun City Uke Club,F,Pop/Rock,Mismatch,
Don't Worry Be Happy,Ukejams 2026 Songbook,293,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
"Don't Worry, Be Happy - C",Sun City Uke,,"https://scukes.org/songs/Don't%20Worry,%20Be%20Happy%20-%20C.pdf",Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
"Don't Worry, Be Happy L",Sun City Uke Book 2,,"https://scukes.org/songs2/Don't%20Worry,%20Be%20Happy%20L.pdf",Open Song,,Ukulele,G,Sun City Uke Club,,Pop/Rock,,
Don't You Wish It Was True,Ukejams 2026 Songbook,294,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Dona Nobis Pacem,Sun City Tablature,,https://scukes.org/tablature/Dona%20Nobis%20Pacem.pdf,Open Song,,Ukulele,D,Sun City Uke Club,,Pop/Rock,,
Dona Nobis Pacem,Sun City Uke,,https://scukes.org/songs/Dona%20Nobis%20Pacem.pdf,Open Song,,Ukulele,D,Sun City Uke Club,,Pop/Rock,,
"Dona, Dona-Am-English",Dr. Uke 3900,,https://doctoruke.com/donadonaame.pdf,Open Song,,Ukulele,,Dr. Uke,Am,Pop/Rock,,
"Dona, Dona-Am-Yiddish",Dr. Uke 3900,,https://doctoruke.com/donadonaamy.pdf,Open Song,,Ukulele,,Dr. Uke,Am,Pop/Rock,,
"Dona, Dona-Dm-English",Dr. Uke 3900,,https://doctoruke.com/donadonael.pdf,Open Song,,Ukulele,,Dr. Uke,Dm,Pop/Rock,,
"Dona, Dona-Dm-Yiddish",Dr. Uke 3900,,https://doctoruke.com/donadonay.pdf,Open Song,,Ukulele,,Dr. Uke,Dm,Pop/Rock,,
Donna - F,Sun City Uke,,https://scukes.org/songs/Donna%20-%20F.pdf,Open Song,,Ukulele,F,Sun City Uke Club,F,Pop/Rock,Match,
"Oh, Donna/Tears On My Pillow Medley",Doctor Uke,,https://www.doctoruke.com/ohdonnamedley.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Do Nothin' Till You Hear From Me,Dr. Uke 3900,,https://doctoruke.com/donothingtill.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Don't/Loving You medley-D,Dr. Uke 3900,,https://doctoruke.com/dont-lovingyoumed.pdf,Open Song,,Ukulele,,Dr. Uke,D,Pop/Rock,,
Don't Ask Me Why,Dr. Uke 3900,,https://doctoruke.com/dontaskmewhy.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
"Don't Be a Baby, Baby",Dr. Uke 3900,,https://doctoruke.com/dontbeababybaby.pdf,Open Song,,Ukulele,F,Dr. Uke,,Pop/Rock,,
Don't Be Cruel,Dr. Uke 3900,,https://doctoruke.com/dontbecruel.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Don't Blame Me,Dr. Uke 3900,,https://doctoruke.com/dontblameme.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Don't-C,Dr. Uke 3900,,https://doctoruke.com/dontc.pdf,Open Song,,Ukulele,C,Dr. Uke,C,Pop/Rock,Match,
Don't Cry For Louie,Dr. Uke 3900,,https://doctoruke.com/dontcryforlouie.pdf,Open Song,,Ukulele,Dm,Dr. Uke,,Pop/Rock,,
